"name_lab","t_since_y1","avg_pubNo_5y","max_pubNo_5y","prop_review","n_community","clustering_coef","domain_diversity","prop_south_asia","prop_west_asia","prop_eastern_europe","prop_thailand","prop_southeast_asia"
"IR_01",3.08219178082192,28.8,90,0.263888888888889,29,0.166602328865521,3.10671702172414,0.26875,0.216666666666667,0.0916666666666667,0.141666666666667,0.116666666666667
"IR_02",5.43287671232877,20.8,65,0.163461538461538,20,0.184147306925828,3.38622969602316,0.197183098591549,0.208920187793427,0.0868544600938967,0.0892018779342723,0.208920187793427
"HJR_01",15.7150684931507,31.2,105,0,14,0.124361158432709,4.56685749133085,0.386581469648562,0.261980830670927,0.00319488817891374,0.111821086261981,0.00638977635782748
"HJR_02",3.08219178082192,6.4,29,0.0625,10,0.2661323189784,2.06985567522319,0.225490196078431,0.166666666666667,0.00980392156862745,0.0686274509803922,0.107843137254902
"HJR_03",6.21095890410959,3,8,0,6,0.427823050058207,3.13957226198672,0.372093023255814,0.186046511627907,0,0.395348837209302,0
"SR_01",33.8821917808219,16.6,23,0.0240963855421687,11,0.338009479555634,2.86556587606801,0.00246305418719212,0,0.00738916256157635,0.334975369458128,0.041871921182266
"SR_02",32.2958904109589,10,12,0.1,12,0.225523696330412,4.18727776130851,0,0,0,0.717241379310345,0.0206896551724138
"SR_03",36.0821917808219,18.6,23,0.118279569892473,17,0.23010526678497,4.59230477093184,0.00711743772241993,0,0,0.430604982206406,0.0889679715302491
"TH_001",20.2109589041096,3.4,7,0,5,0.380549682875264,1.27720181120226,0,0,0,0.75,0.0416666666666667
"TH_002",8.08219178082192,1.8,4,0,3,0.520161290322581,1.22439444540599,0,0,0,1,0
"TH_003",2.98904109589041,1.2,4,0,3,0.577464788732394,1.79248125036058,0,0,0,0.75,0.166666666666667
"TH_004",7.95890410958904,2.2,4,0.636363636363636,4,0.557029177718833,0.94566030460064,0,0,0,0.416666666666667,0
"TH_005",4.71232876712329,1.2,4,0.166666666666667,2,0.555555555555556,0.91829583405449,0.125,0,0,0.625,0.125
"TH_006",4.08219178082192,5.6,22,0.0714285714285714,3,0.52189349112426,1.51376928778064,0.130434782608696,0.130434782608696,0,0.347826086956522,0.217391304347826
"TH_007",16.0438356164384,1.2,3,0,3,0.56,1,0.0833333333333333,0,0,0.833333333333333,0.0833333333333333
"TH_008",17.2109589041096,1.4,3,0,3,0.509433962264151,0.591672778582327,0,0,0,1,0
"TH_009",13.1287671232877,1.4,3,0,3,0.63235294117647,1.52192809488736,0,0,0,0.928571428571429,0.0714285714285714
"TH_010",3.59452054794521,1.2,5,0.333333333333333,2,0.621761658031088,0.650022421648354,0,0,0,0.692307692307692,0.153846153846154
"TH_011",14.0821917808219,2.2,3,0.181818181818182,3,0.589479112944817,0.845350936622436,0,0,0,0.75,0.214285714285714
"TH_012",15.3780821917808,2.4,3,0.25,4,0.563671311869294,0.91829583405449,0,0,0,0.78125,0.1875
"TH_013",22.8356164383562,9,15,0.155555555555556,7,0.487478159580664,1.10807348082679,0.235294117647059,0.00980392156862745,0,0.480392156862745,0.00980392156862745
"TH_014",28.2958904109589,9.8,15,0.0816326530612245,12,0.427247722968708,1.33714720831441,0,0,0,0.677248677248677,0.116402116402116
"TH_015",14.0821917808219,2.8,7,0.0714285714285714,4,0.422135706340378,0.946372935985442,0,0,0,0.930232558139535,0.0232558139534884
"TH_016",21.6301369863014,8.4,11,0,6,0.327833850931677,1.2687525157209,0,0,0,0.827067669172932,0.0451127819548872
"TH_017",21.6301369863014,9,12,0,7,0.327024052821883,1.41385809623352,0,0,0,0.814285714285714,0.0428571428571429
"TH_018",14.3232876712329,4.2,9,0,4,0.560668380462725,1.54921112471145,0,0,0,0.840909090909091,0
"TH_019",24.6301369863014,1.8,4,0.222222222222222,4,0.684753661784288,0.503258334775646,0,0,0,0.901639344262295,0
"TH_020",16.5479452054795,0.2,1,1,2,1,0,0,0,0,1,0
"TH_021",10.2219178082192,0.2,1,1,2,1,0,0,0,0,1,0
"TH_022",17.5479452054795,2.4,4,0,3,0.476303317535545,1.65002242164835,0,0,0,0.842105263157895,0.0526315789473684
"TH_023",17.1287671232877,1.8,5,0.222222222222222,3,0.75,0.991076059838222,0.125,0,0,0.875,0
"TH_024",8.83835616438356,3.4,8,0.176470588235294,3,0.764440433212996,0.977417817528172,0.0566037735849057,0,0,0.415094339622642,0.132075471698113
"TH_025",27.2109589041096,6.8,12,0.0588235294117647,6,0.418176235799816,1.15622728360065,0.148648648648649,0,0,0.716216216216216,0.0135135135135135
"TH_026",17.5479452054795,0.2,1,0,2,1,0,0,0,0,1,0
"TH_027",34.5479452054795,10,16,0.04,14,0.42272513974759,0.422542669197746,0.0062111801242236,0.0217391304347826,0.0093167701863354,0.313664596273292,0.0186335403726708
"TH_028",27.7972602739726,4,6,0,7,0.527313449142358,0.286396957115956,0,0,0,0.191176470588235,0
"TH_029",33.6301369863014,3.4,6,0,6,0.641665396922139,1.14006776267186,0,0,0,0.723214285714286,0.0357142857142857
"TH_030",18.3780821917808,8.4,15,0.0476190476190476,13,0.384771706709496,1.42550937950226,0.00858369098712446,0,0,0.789699570815451,0.0600858369098712
"TH_031",12.4520547945205,1.8,3,0,6,0.616656460502143,0.503258334775646,0,0,0,0.717391304347826,0.130434782608696
"TH_032",24.8821917808219,2.4,3,0.25,6,0.530762920426579,1.18872187554087,0,0,0,0.907407407407407,0.0925925925925926
"TH_033",21.0821917808219,2.8,5,0.0714285714285714,4,0.574761904761905,0.940285958670631,0,0,0,0.814814814814815,0
"TH_034",20.9972602739726,6,11,0.0333333333333333,6,0.498670654702559,0.972253928364927,0.0161290322580645,0,0,0.612903225806452,0.137096774193548
"TH_035",21.6301369863014,0.2,1,0,2,1,0,0,0,0,1,0
"TH_036",22.7972602739726,2.4,4,0,4,0.533937823834197,0.684038435639042,0,0,0,0.816326530612245,0
"TH_037",10.6301369863014,3,5,0,5,0.611940298507463,1.23664074194117,0,0,0,0.777777777777778,0.0694444444444444
"TH_038",6.5972602739726,2.6,5,0,6,0.446173592170704,0.779349837292085,0,0,0,0.966101694915254,0.0169491525423729
"TH_039",20.958904109589,3.8,7,0.473684210526316,4,0.489503816793893,0.309543429150325,0,0,0,1,0
"TH_040",14.9452054794521,9.8,16,0.0612244897959184,12,0.493550767933083,1.63883984227061,0,0,0,0.576158940397351,0
"TH_041",12.6301369863014,4.2,8,0.0476190476190476,3,0.539842873176206,1.26777021610442,0,0,0,0.766666666666667,0
"TH_042",6.28767123287671,5.4,9,0,5,0.498218376177144,1.68515901222566,0,0,0,0.833333333333333,0
"TH_043",33.1287671232877,2.4,4,0,6,0.709558107845046,2.91829583405449,0,0,0,0.912280701754386,0.0175438596491228
"TH_044",17.7972602739726,3.2,7,0.25,7,0.586520285007998,2.3967822215998,0,0,0,0.926315789473684,0
"TH_045",31.6301369863014,5.8,8,0.103448275862069,8,0.37338111916592,3.68990158199215,0,0,0,0.669642857142857,0
"TH_046",33.9972602739726,6.6,10,0.0606060606060606,6,0.330603889457523,2.8701939386962,0,0,0,0.816666666666667,0.0833333333333333
"TH_047",16.0821917808219,0.2,1,0,2,1,0,0,0,0,1,0
"TH_048",22.4630136986301,1.2,2,0,3,0.674418604651163,1.5,0,0,0,0.866666666666667,0.0666666666666667
"TH_049",20.0821917808219,0.4,1,0,2,1,0,0,0,0,1,0
"TH_050",14.5616438356164,3.6,6,0,4,0.451476793248945,3.07817586508658,0,0,0,0.84,0.04
"TH_051",11.0821917808219,2.6,4,0,3,0.65625,2.18878706780238,0,0,0,0.923076923076923,0
"TH_052",4.66849315068493,2.2,3,0.0909090909090909,4,0.481651376146789,2.73215889136457,0,0.0476190476190476,0,0.380952380952381,0.476190476190476
"TH_053",24.2958904109589,13.2,20,0.0909090909090909,13,0.378700829356438,4.09914118394085,0.00446428571428571,0,0,0.830357142857143,0.00446428571428571
"TH_054",27.0438356164384,7,11,0.142857142857143,9,0.598467974140273,3.45367239943755,0.0184049079754601,0,0,0.361963190184049,0.0797546012269939
"TH_055",17.2958904109589,0.8,3,0,2,0.814919071076707,1.5,0,0,0,0.833333333333333,0
"TH_056",18.8821917808219,0.2,1,0,2,1,0,0,0,0,1,0
"TH_057",29.7150684931507,11.4,13,0.0526315789473684,8,0.464401388085599,4.04652791095419,0.0225988700564972,0.00564971751412429,0,0.423728813559322,0.0225988700564972
"TH_058",9.12876712328767,2.2,4,0,5,0.582343412526998,1.87996494872711,0,0,0,0.828571428571429,0
"TH_059",15.0821917808219,3,6,0.0666666666666667,5,0.52295177222545,3.24022392894185,0,0,0,0.621621621621622,0.0540540540540541
"TH_060",14.3945205479452,7.4,10,0,5,0.595997034840623,3.8138801593076,0,0,0,0.766233766233766,0.038961038961039
"TH_061",22.1287671232877,1.2,2,0,3,0.86764324604615,1.91829583405449,0,0,0,0.775,0
"TH_062",29.3780821917808,2,4,0.1,6,0.614066726780884,1.35677964944704,0,0,0,0.98,0
"TH_063",25.0821917808219,3.4,6,0,8,0.592076978196335,1.7987949406954,0,0,0,0.611764705882353,0.0823529411764706
"TH_064",17.0821917808219,7.4,10,0.0810810810810811,5,0.525508425334108,2.96098176022596,0.138211382113821,0.016260162601626,0,0.601626016260163,0
"TH_065",12.1150684931507,9.6,13,0.0833333333333333,8,0.411446711600837,3.77051283551697,0.00495049504950495,0,0,0.762376237623762,0.0792079207920792
"TH_066",29.6301369863014,0.6,1,0,3,0.722222222222222,1.58496250072116,0,0,0,1,0
"TH_067",31.5479452054795,22.6,68,0.495575221238938,11,0.26070842347646,4.24560108628777,0.315,0.0575,0.01,0.1875,0.0475
"TH_068",25.0821917808219,16.2,27,0.209876543209877,8,0.491067924289422,1.55077520354944,0.0933333333333333,0,0.00444444444444444,0.591111111111111,0.0933333333333333
"TH_069",24.0821917808219,4.6,10,0.130434782608696,5,0.598544145272386,2.01463881434338,0.192771084337349,0.0120481927710843,0,0.771084337349398,0
"TH_070",22.8821917808219,12.6,18,0.0476190476190476,6,0.358081357407005,3.86708856855126,0,0,0,0.743455497382199,0.0471204188481675
"TH_071",26.8821917808219,1.4,2,0,4,0.668426610348469,1.66449777920046,0.0357142857142857,0,0,0.607142857142857,0.0714285714285714
"TH_072",16.0821917808219,2.4,6,0.0833333333333333,4,0.58695652173913,3.25162916738782,0,0,0,0.935483870967742,0
"TH_073",21.4794520547945,4.8,6,0,4,0.492116182572614,3.68456081428629,0,0,0,0.807692307692308,0
"TH_074",28.6301369863014,3,4,0,2,0.792103639728563,3.05656476213095,0,0,0,0.857142857142857,0
"TH_075",10.6301369863014,0.8,2,0,4,0.710622710622711,2,0,0,0,0.954545454545455,0
"TH_076",12.9041095890411,3.2,6,0,6,0.613417390270013,3.15563906222957,0,0,0,0.705882352941177,0.0420168067226891
"TH_077",13.1698630136986,1.8,3,0,4,0.695772695772696,2.50325833477565,0,0,0,0.689655172413793,0.0344827586206897
"TH_078",6.71506849315069,2.2,4,0.0909090909090909,6,0.664944013781223,2.84535093662244,0,0,0,0.717948717948718,0.0256410256410256
"TH_079",8.06849315068493,0.8,1,0,2,1,2,0,0,0,1,0
"TH_080",18.0821917808219,5.4,11,0.555555555555556,4,0.454622850332028,3.11326968951511,0.032258064516129,0,0,0.725806451612903,0.032258064516129
"TH_081",12.0821917808219,2.6,7,0.461538461538462,5,0.51063829787234,2.71929452566698,0.0384615384615385,0,0,0.961538461538462,0
"TH_082",17.2109589041096,3,7,0.333333333333333,3,0.577930174563591,2.61057724333164,0,0,0,1,0
"TH_083",7.16164383561644,2.6,5,0.538461538461538,5,0.514116874589626,2.46967048737186,0,0,0,1,0
"TH_084",19.6301369863014,1.2,3,0.5,3,0.71830985915493,1.79248125036058,0,0,0,1,0
"TH_085",35.0821917808219,0.2,1,1,2,1,0,0,0,0,0.2,0
"TH_086",16.7150684931507,2.8,6,0,7,0.68212362950446,2.54952345959783,0.0217391304347826,0,0,0.706521739130435,0
"TH_087",13.2246575342466,12.8,23,0.015625,19,0.229443918081772,4.15992783761159,0,0,0,0.422712933753943,0.0441640378548896
"TH_088",18.3780821917808,13.6,22,0.0147058823529412,15,0.230238102378025,4.35330835076341,0,0,0,0.442244224422442,0.0528052805280528
"TH_089",20.6301369863014,5.2,9,0,9,0.516083605099318,4.23890125660263,0,0,0,0.862745098039216,0.00980392156862745
"TH_090",6.08219178082192,2.6,5,0,5,0.543508527671424,3.08505510275648,0,0,0,0.918367346938776,0
"TH_091",18.0438356164384,1.2,3,0,3,0.591482649842271,2.25162916738782,0,0,0,0.954545454545455,0
"TH_092",10.9698630136986,1.8,3,0,3,0.707954545454546,2.41938194564637,0,0,0,0.961538461538462,0
"TH_093",7.84109589041096,0.4,2,0,2,0.89247311827957,1,0,0,0,1,0
"TH_094",36.0821917808219,8,10,0.05,5,0.374235906724021,3.00036851708276,0,0,0,0.763157894736842,0.0657894736842105
"TH_095",26.0821917808219,3.8,4,0.0526315789473684,5,0.426245683275777,3.11583409216322,0,0,0,0.717391304347826,0.0869565217391304
"TH_096",21.0821917808219,1.4,4,0,4,0.74931941923775,2.23592635062903,0,0,0,0.974358974358974,0
"TH_097",12.841095890411,4.8,11,0.0833333333333333,7,0.506986404833837,3.23469700253088,0,0,0,0.84,0
"TH_098",30.2958904109589,3.6,6,0.0555555555555556,3,0.784615384615385,3.14967344718674,0,0,0,0.725490196078431,0
"TH_099",18.8821917808219,2.2,4,0.0909090909090909,2,0.895522388059702,1.78992907531,0,0,0,1,0
"TH_100",1.16438356164384,1.6,6,0.375,4,0.657758385601309,2.15563906222957,0,0,0,0.916666666666667,0
"TH_101",17.6657534246575,5.4,10,0.666666666666667,5,0.658181209177692,2.90769109546246,0,0,0,0.932432432432432,0
"TH_102",22.4630136986301,3.8,7,0.368421052631579,5,0.646846846846847,3.53688672374217,0,0,0,1,0
"TH_103",8.12054794520548,1.4,4,0,5,0.607473650590866,2.52164063634332,0,0,0,0.828571428571429,0
"TH_104",7.08219178082192,4.2,10,0.0476190476190476,7,0.525383304940375,3.27280432733462,0,0,0,0.735849056603774,0.0660377358490566
"TH_105",30.7150684931507,11.4,14,0.31578947368421,9,0.340122377622378,4.12089336634941,0,0,0,0.412280701754386,0.0175438596491228
"TH_106",16.8547945205479,3.4,6,0,5,0.449406444318824,2.88954943086209,0,0,0,0.96969696969697,0.0303030303030303
"TH_107",28.0821917808219,1.6,6,0,3,0.635514018691589,2.75,0,0,0,1,0
"TH_108",10.5232876712329,2.8,6,0.0714285714285714,4,0.556424581005587,1.95021206491475,0,0,0,0.952380952380952,0.0476190476190476
"TH_109",38.8821917808219,1.8,3,0,5,0.626168224299065,2.64160416786859,0,0,0,0.764705882352941,0.0882352941176471
"TH_110",14.6027397260274,1.8,3,0,4,0.613219094247246,2.41938194564637,0,0,0,0.944444444444444,0.0555555555555556
"TH_111",23.0821917808219,4.8,12,0,5,0.312638580931264,3.10538854220753,0.0416666666666667,0,0,0.625,0.333333333333333
"TH_112",10.3397260273973,1.8,3,0,4,0.586813186813187,2.64160416786859,0.111111111111111,0.166666666666667,0,0.722222222222222,0
